,Lambda,FID,MSE
0,242.0,1651.0299072265625,0.001785255021139407
1,0.00041,806.0726928710938,0.6415931143485106
2,2.0,755.350830078125,0.09856027354918723
3,49.0,1512.135986328125,0.0064307000947676106
4,0.01,3481.04833984375,0.8210927062417097
5,0.01,3480.943115234375,0.8210927062414038
6,412.0,1630.833984375,0.005172894613731881
7,0.00588,1499.38916015625,0.6136976135745963
8,83.0,1420.4541015625,0.004799382480606555
9,2030.0,2142.19384765625,0.0042204208752362245
10,2e-05,3481.042724609375,0.8210927062420665
11,2.0,1273.787353515625,0.09510133303204805
12,0.08,3481.04248046875,0.8210927062426215
13,10.0,1100.530517578125,0.017836425462704635
14,0.01701,3481.08447265625,0.8210927062427774
15,2030.0,1994.4208984375,0.003655914814017416
16,3455.5878,2001.24951171875,0.0004178370808124977
17,0.1,3481.021484375,0.821092706242082
18,412.0,1543.653564453125,0.0015579884347179296
19,0.00024,3480.992919921875,0.8210927062418989
20,28.0,1466.7333984375,0.006064860681786653
21,0.7,1642.469970703125,0.12395546070891798
22,1193.0,1648.7265625,0.0006215689261659563
23,3e-05,3481.0234375,0.8210927062364494
24,1193.0,1588.409912109375,0.00038938163926190546
25,49.0,1650.3138427734375,0.013705618444191147
26,0.02,3480.97119140625,0.821092706241364
27,242.0,1802.7855224609375,0.0020423679808680875
28,10000.0,2145.516357421875,0.0006417896979427835
29,0.00203,3481.04150390625,0.8210927062428834
30,701.0,1547.3011474609375,0.0019093450239327234
31,0.01,3481.03466796875,0.8210927062432021
32,8e-05,1088.8487548828125,0.6242124394689669
33,3e-05,3480.876708984375,0.8210927062444044
34,0.01,3480.94189453125,0.821092706243906
35,1e-05,3480.93408203125,0.821092706233438
36,0.00024,3480.989013671875,0.8210927062405778
37,0.00346,3480.914794921875,0.8210927062369673
38,0.02,1462.14453125,0.538287058258682
39,8e-05,3481.1162109375,0.8210927062434146
40,0.1,3481.0263671875,0.8210927062421823
41,8e-05,3481.006591796875,0.8210927062431134
42,1193.0,2043.2431640625,0.00760893548529885
43,5e-05,3480.98095703125,0.8210927062428112
44,3e-05,3480.96923828125,0.821092706242029
45,1e-05,3481.033203125,0.8210927062374017
46,10.0,1346.356689453125,0.01881536860606876
47,3e-05,3480.944580078125,0.8210927062389093
48,3455.5878,2167.16162109375,6.640708579934487e-05
49,242.0,1736.415283203125,0.0019513870474551051
50,28.0,1915.0272216796875,0.014047822107392673
51,2e-05,3480.990234375,0.8210927062440319
52,0.01,3481.00439453125,0.8210927062414902
53,10000.0,2193.255615234375,0.0002481649578572623
54,0.00041,3481.00048828125,0.8210927062379811
55,3.0,819.4898071289062,0.06939166822973906
56,2030.0,2174.2880859375,9.721856476257662e-05
57,0.2,3481.03466796875,0.8210927062428073
58,83.0,1714.342529296875,0.008317678518304167
59,1193.0,2113.17431640625,0.0010635157373435845
60,0.2,1625.856201171875,0.23421468736651802
61,0.00024,3480.974609375,0.821092706243872
62,1193.0,1850.8218994140625,0.0008359324781021236
63,1.0,1560.3428955078125,0.13262629601105466
64,2030.0,1951.35693359375,0.0003429962688718355
65,0.1,3481.04931640625,0.821092706242915
66,0.2,3481.01318359375,0.8210927062417906
67,10000.0,2197.67041015625,0.0007226115166227879
68,242.0,1581.0806884765625,0.003910206510782397
69,0.4,1583.41943359375,0.14951357261388357
70,0.08,3480.982421875,0.821092706236746
71,3455.5878,2108.791748046875,0.0020953835236909987
