,Unnamed: 0,Lambda,FID,MSE
124,124,0.04,3480.95849609375,0.8210927062436719
281,281,0.04,3480.9951171875,0.8210927062434562
72,72,0.04,3481.020751953125,0.8210927062426515
262,262,0.04,3480.9619140625,0.8210927062410958
193,193,0.04,3481.01953125,0.8210927062415286
340,340,0.04,3480.99951171875,0.8210927062436327
95,95,0.04,3480.9990234375,0.8210927062430565
132,132,0.04,3480.978515625,0.8210927062431019
272,272,0.04,3481.00390625,0.8210927062413838
214,214,0.04,3481.009765625,0.8210927062427911
237,237,0.08,3481.025390625,0.8210927062429083
122,122,0.08,3480.96923828125,0.8210927062377891
70,70,0.08,3480.982421875,0.821092706236746
236,236,0.08,3480.973876953125,0.8210927062429245
12,12,0.08,3481.04248046875,0.8210927062426215
125,125,0.08,3481.00634765625,0.8210927062430419
113,113,0.08,3481.073486328125,0.8210927062434126
176,176,0.08,3481.013427734375,0.8210927062434575
208,208,0.08,3480.998779296875,0.8210927062398308
196,196,0.08,3480.920166015625,0.8210927062490037
145,145,0.1,3480.996337890625,0.8210927062432756
40,40,0.1,3481.0263671875,0.8210927062421823
202,202,0.1,3481.09619140625,0.8210927062436829
361,361,0.1,3481.0712890625,0.8210927062435317
17,17,0.1,3481.021484375,0.821092706242082
356,356,0.1,3481.00634765625,0.8210927062414018
65,65,0.1,3481.04931640625,0.8210927062429151
336,336,0.1,3481.01171875,0.8210927062426754
300,300,0.1,3481.085205078125,0.8210927062427539
174,174,0.1,3480.94873046875,0.8210927062307272
60,60,0.2,1625.856201171875,0.234214687366518
57,57,0.2,3481.03466796875,0.8210927062428073
138,138,0.2,1709.60791015625,0.1976394318217883
183,183,0.2,1683.523681640625,0.14296674468156464
136,136,0.2,3481.041015625,0.8210927062419202
75,75,0.2,1482.098876953125,0.1889468106080193
240,240,0.2,3480.998046875,0.8210927062388207
271,271,0.2,1557.2044677734375,0.2913949605956827
225,225,0.2,3481.05029296875,0.8210927062430291
66,66,0.2,3481.01318359375,0.8210927062417906
144,144,0.4,1630.5794677734375,0.2097727778515464
277,277,0.4,1291.5230712890625,0.2758160734860416
297,297,0.4,1501.454345703125,0.2563152141339323
304,304,0.4,1567.4554443359375,0.15173022216289864
280,280,0.4,1643.0172119140625,0.262067307937398
93,93,0.4,1502.481689453125,0.18201324351130946
69,69,0.4,1583.41943359375,0.14951357261388354
388,388,0.4,1591.7635498046875,0.16045661327901328
347,347,0.4,1275.9671630859375,0.2468173293635215
79,79,0.4,1567.70654296875,0.11174232711657654
106,106,0.7,1597.1309814453125,0.13330013855359055
190,190,0.7,1435.8658447265625,0.14395924739103305
378,378,0.7,1640.7720947265625,0.119535284776932
285,285,0.7,1393.309814453125,0.16125357699122744
134,134,0.7,1428.302978515625,0.12816924243682173
206,206,0.7,1369.5950927734375,0.12623173338393626
81,81,0.7,1455.186767578125,0.16353783350585702
369,369,0.7,1526.0244140625,0.1697276719613885
21,21,0.7,1642.469970703125,0.12395546070891797
255,255,0.7,1731.6414794921875,0.10844177298505094
366,366,1.0,1585.511474609375,0.10982127954414267
