,Lambda,FID,MSE
0,5e-05,1.6289300918579102,0.4536676202841262
1,0.04,1.6289302110671997,0.45366762028632285
2,2030.0,0.20110829174518585,0.00218455040069154
3,0.00588,1.6289300918579102,0.45366762028396385
4,0.4,0.16627606749534607,0.08135101940341079
5,0.00041,1.6289302110671997,0.45366762028453966
6,5.0,1.6286625862121582,0.45366762096922253
7,0.00014,1.6289300918579102,0.45366762028419455
8,0.08,1.6289300918579102,0.4536676202843492
9,0.00014,1.6289299726486206,0.4536676202843127
10,5e-05,1.6289300918579102,0.453667620284183
11,49.0,0.11081929504871368,0.0030981251137025714
12,3455.5878,1.5679733753204346,0.002136506612302247
13,3455.5878,1.5864810943603516,0.0026540097707511427
14,0.00588,1.6289300918579102,0.4536676202847722
15,0.0007,1.6289300918579102,0.4536676202838304
16,8e-05,1.6289300918579102,0.45366762028389046
17,0.01,1.6289300918579102,0.45366762028461444
18,3455.5878,0.3178345561027527,0.0026085957346507387
19,1193.0,0.13404004275798798,0.0018303511838164358
20,0.0007,1.6289300918579102,0.45366762028429747
21,0.00588,1.6289300918579102,0.453667620283918
22,0.08,1.6289300918579102,0.45366762028618307
23,28.0,0.09714478254318237,0.00632918375769669
24,701.0,0.12287222594022751,0.001593521950781286
25,0.7,0.09629914164543152,0.11502502083798073
26,3.0,0.0792183205485344,0.04244114195019334
27,49.0,0.09983481466770172,0.003946749679730355
28,0.01,1.6289300918579102,0.45366762028391056
29,142.0,0.12490034848451614,0.0012521352592364025
30,0.4,1.6289300918579102,0.45366762028602864
31,2030.0,1.4703292846679688,0.004052559640433521
32,0.00014,1.6289300918579102,0.4536676202845705
33,0.01,1.6289300918579102,0.45366762028409857
34,0.08,1.6289303302764893,0.4536676202851247
35,5.0,0.09722438454627991,0.03469927661120846
36,49.0,0.09875036776065826,0.004550599376560611
37,0.4,0.23180799186229706,0.14041848761599296
38,2030.0,0.0945439487695694,0.000583127384438297
39,1.0,0.194925457239151,0.0509595851430134
40,3e-05,1.6289300918579102,0.45366762028381274
41,3.0,0.08205634355545044,0.04221669092378891
42,2030.0,0.3182954788208008,0.0018465543974084278
43,0.00588,1.6289300918579102,0.45366762028404956
44,0.0007,1.6289300918579102,0.4536676202839992
45,2e-05,1.6289302110671997,0.45366762028467034
46,2.0,0.0686558410525322,0.06028137078955501
47,0.01,1.6289300918579102,0.4536676202839659
48,0.01,1.6289300918579102,0.4536676202838804
49,0.00014,1.6289300918579102,0.45366762028380364
50,2e-05,1.6289300918579102,0.45366762028368696
51,0.1,1.6289300918579102,0.4536676202840742
52,1e-05,1.6289300918579102,0.4536676202840235
53,2.0,0.08409378677606583,0.07195703404432294
54,0.0007,1.6289300918579102,0.4536676202841832
55,2030.0,0.2003922164440155,0.003598949569476894
56,242.0,0.09893007576465607,0.00142394046512282
57,1e-05,1.6289300918579102,0.45366762028416935
58,17.0,0.0743028074502945,0.01199898362532501
59,142.0,0.10407234728336334,0.0014674092519521157
60,10.0,0.0802132710814476,0.021205153849070443
61,28.0,0.08744306117296219,0.005185268449968773
62,17.0,0.09528850018978119,0.012005328600390212
63,8e-05,1.6289300918579102,0.4536676202841705
64,10000.0,1.5775277614593506,0.0006647591879235592
65,5e-05,1.6289300918579102,0.45366762028406427
66,8e-05,1.6289300918579102,0.45366762028398244
67,3.0,0.07897258549928665,0.04853387219249873
68,412.0,0.0854029729962349,0.001422416148932084
69,3e-05,1.6289300918579102,0.4536676202839314
