,Unnamed: 0,Lambda,FID,MSE
143,143,0.00346,1.6289300918579102,0.4536676202848806
268,268,0.00346,1.6289300918579102,0.4536676202839173
240,240,0.00346,1.6289300918579102,0.4536676202840935
132,132,0.00346,1.6289300918579102,0.4536676202843886
309,309,0.00346,1.6289300918579102,0.4536676202838645
123,123,0.00346,1.6289300918579102,0.4536676202840029
293,293,0.00346,1.6289300918579102,0.4536676202839308
43,43,0.00588,1.6289300918579102,0.4536676202840496
14,14,0.00588,1.6289300918579102,0.4536676202847722
226,226,0.00588,1.6289300918579102,0.4536676202842868
208,208,0.00588,1.6289300918579102,0.4536676202839606
249,249,0.00588,1.6289300918579102,0.4536676202839534
130,130,0.00588,1.6289303302764893,0.4536676202860045
21,21,0.00588,1.6289300918579102,0.45366762028391794
262,262,0.00588,1.6289300918579102,0.4536676202838174
158,158,0.00588,1.6289300918579102,0.4536676202838526
3,3,0.00588,1.6289300918579102,0.4536676202839639
125,125,0.01,1.6289300918579102,0.453667620284526
189,189,0.01,1.6289300918579102,0.4536676202840008
33,33,0.01,1.6289300918579102,0.4536676202840986
17,17,0.01,1.6289300918579102,0.4536676202846144
28,28,0.01,1.6289300918579102,0.4536676202839106
218,218,0.01,1.6289300918579102,0.4536676202838363
182,182,0.01,1.6289300918579102,0.4536676202843061
48,48,0.01,1.6289300918579102,0.4536676202838804
222,222,0.01,1.6289300918579102,0.45366762028410296
47,47,0.01,1.6289300918579102,0.4536676202839659
245,245,0.01701,1.6289300918579102,0.4536676202838775
151,151,0.01701,1.6289300918579102,0.4536676202842273
128,128,0.01701,1.6289300918579102,0.453667620283931
312,312,0.01701,1.6289300918579102,0.4536676202840258
220,220,0.01701,1.6289300918579102,0.4536676202841765
117,117,0.01701,1.6289300918579102,0.4536676202838533
311,311,0.02,1.6289300918579102,0.4536676202840786
119,119,0.02,1.6289300918579102,0.4536676202838376
164,164,0.02,1.6289303302764893,0.4536676202842044
217,217,0.02,1.6289300918579102,0.4536676202840377
244,244,0.02,1.6289300918579102,0.4536676202839575
281,281,0.02,1.6289300918579102,0.4536676202839406
126,126,0.02,1.6289300918579102,0.4536676202840349
203,203,0.02,1.6289300918579102,0.4536676202841072
271,271,0.04,1.6289302110671997,0.4536676202842637
1,1,0.04,1.6289302110671997,0.4536676202863229
156,156,0.04,1.6289300918579102,0.4536676202854917
103,103,0.04,1.6289300918579102,0.4536676202840108
70,70,0.04,1.6289303302764893,0.4536676202857366
175,175,0.04,1.6289300918579102,0.4536676202838222
186,186,0.04,1.6289300918579102,0.4536676202839747
184,184,0.04,1.6289300918579102,0.4536676202839726
301,301,0.04,1.6289300918579102,0.4536676202841268
237,237,0.04,1.6289300918579102,0.4536676202841018
95,95,0.08,1.6289300918579102,0.4536676202841418
224,224,0.08,1.6289303302764893,0.4536676202843089
120,120,0.08,1.628929853439331,0.4536676202847461
34,34,0.08,1.6289303302764893,0.4536676202851247
8,8,0.08,1.6289300918579102,0.4536676202843492
303,303,0.08,1.6289300918579102,0.4536676202846413
190,190,0.08,1.6289300918579102,0.4536676202842009
22,22,0.08,1.6289300918579102,0.4536676202861831
72,72,0.1,1.6289300918579102,0.4536676202838346
79,79,0.1,1.6289300918579102,0.4536676202840405
291,291,0.1,1.6289300918579102,0.4536676202840376
273,273,0.1,1.6289303302764893,0.4536676202849357
51,51,0.1,1.6289300918579102,0.4536676202840742
185,185,0.1,1.6289300918579102,0.45366762028431495
202,202,0.1,1.6289300918579102,0.4536676202839045
250,250,0.1,1.6289300918579102,0.4536676202839785
272,272,0.2,0.16044698655605316,0.1777832654900339
171,171,0.2,0.14298871159553528,0.18104145110170647
195,195,0.2,0.08605761080980301,0.2713348145787221
307,307,0.2,1.6289302110671997,0.4536676202856174
178,178,0.2,1.6289300918579102,0.4536676202886419
277,277,0.2,0.10118079930543901,0.24563117689010575
254,254,0.2,0.08493926376104355,0.24641202502754705
231,231,0.2,0.0906560942530632,0.2713858697976703
157,157,0.2,0.08474595844745636,0.269841747038297
104,104,0.2,0.22101595997810364,0.2220929423711069
30,30,0.4,1.6289300918579102,0.4536676202860286
4,4,0.4,0.16627606749534607,0.08135101940341079
181,181,0.4,0.07742089778184891,0.19252542119236865
260,260,0.4,1.6289300918579102,0.4536676202881354
109,109,0.4,0.18860271573066711,0.08509913392746891
135,135,0.4,0.1653754562139511,0.0979872394243925
170,170,0.4,0.060997109860181815,0.17618679823855846
227,227,0.4,0.08574492484331131,0.1738550739210077
261,261,0.4,0.16273817420005798,0.05991671033628821
37,37,0.4,0.23180799186229706,0.14041848761599296
145,145,0.7,0.27542635798454285,0.09705032180115608
25,25,0.7,0.09629914164543152,0.11502502083798072
147,147,0.7,0.1848471164703369,0.07030324342285743
141,141,0.7,0.058831091970205314,0.1347134118843507
91,91,0.7,0.08509163558483124,0.11768921406508102
236,236,0.7,0.2103746682405472,0.07888418258192002
168,168,0.7,0.09938020259141922,0.1333630540833243
204,204,0.7,0.1881624311208725,0.0607825317597659
163,163,0.7,0.100150428712368,0.07723984676018372
39,39,1.0,0.194925457239151,0.0509595851430134
221,221,1.0,0.07898318022489548,0.10159398260380943
193,193,1.0,0.11564897745847702,0.09138196268360302
127,127,1.0,0.21849726140499115,0.04685630101574733
235,235,1.0,0.18989066779613492,0.05538111484101234
74,74,1.0,0.17388916015625,0.04469228184952821
167,167,1.0,0.073027104139328,0.1079550745272701
96,96,2.0,0.2224259376525879,0.04369731474421594
219,219,2.0,1.6288094520568848,0.4536676204998814
310,310,2.0,0.0873834490776062,0.052028204690292304
223,223,2.0,0.08857108652591705,0.036919520183578164
243,243,2.0,0.10428334027528764,0.03819946350685393
174,174,2.0,0.09515223652124404,0.04634971249020143
53,53,2.0,0.08409378677606583,0.07195703404432294
46,46,2.0,0.0686558410525322,0.06028137078955501
113,113,3.0,0.22490960359573364,0.039241666549344384
41,41,3.0,0.08205634355545044,0.042216690923788915
122,122,3.0,0.10538250207901,0.03939550793958617
26,26,3.0,0.0792183205485344,0.042441141950193335
155,155,3.0,1.628724217414856,0.4536676180331847
305,305,3.0,0.11091400682926178,0.038243411868208975
67,67,3.0,0.07897258549928665,0.04853387219249873
84,84,3.0,0.0982091873884201,0.03802300961180605
207,207,3.0,0.1001102477312088,0.036449156668886505
232,232,5.0,0.108111672103405,0.033909458000406546
252,252,5.0,0.0951673835515976,0.03100062105511147
315,315,5.0,1.628809690475464,0.4536676210666794
140,140,5.0,1.628757119178772,0.4536676225156859
200,200,5.0,0.07416195422410965,0.034385694681174216
6,6,5.0,1.6286625862121582,0.4536676209692225
35,35,5.0,0.09722438454627992,0.03469927661120846
88,88,10.0,0.0952278897166252,0.021454036485450183
169,169,10.0,0.08279334008693695,0.02194878076964966
101,101,10.0,0.09803467243909836,0.021543301274062985
99,99,10.0,0.09766565263271333,0.020890445547053483
288,288,10.0,0.08743888884782791,0.020960714641524585
60,60,10.0,0.0802132710814476,0.021205153849070443
146,146,10.0,0.07747898250818253,0.020734859081076463
314,314,17.0,0.09672344475984572,0.009915060079814929
160,160,17.0,0.0864221453666687,0.013062272612136838
149,149,17.0,0.10038594901561736,0.010347328635155308
58,58,17.0,0.0743028074502945,0.01199898362532501
253,253,17.0,0.10476044565439224,0.009556865039380929
196,196,17.0,0.1007768213748932,0.009791690733000076
62,62,17.0,0.0952885001897812,0.012005328600390212
248,248,17.0,0.08106663823127748,0.013716427521020638
23,23,28.0,0.09714478254318236,0.00632918375769669
298,298,28.0,0.0924493670463562,0.005479816779011232
284,284,28.0,0.09265930950641632,0.006316941782191294
241,241,28.0,0.09463229775428772,0.0055665692314542424
283,283,28.0,1.629768133163452,0.4536676328075896
61,61,28.0,0.08744306117296219,0.005185268449968773
275,275,28.0,0.09417739510536194,0.005288497631983115
82,82,28.0,0.10014576464891434,0.005572995662545946
114,114,28.0,0.10483577102422714,0.005303247011277655
86,86,28.0,0.09986260533332823,0.008081009740169405
246,246,49.0,0.10696761310100557,0.0034349813139906123
11,11,49.0,0.11081929504871367,0.0030981251137025714
297,297,49.0,1.6291695833206177,0.4536676317787009
27,27,49.0,0.09983481466770172,0.003946749679730355
199,199,49.0,0.10837307572364807,0.00417088939902364
77,77,49.0,0.13272391259670258,0.0022832871942194237
282,282,49.0,0.0988098755478859,0.0029485370070370265
36,36,49.0,0.09875036776065826,0.004550599376560611
129,129,83.0,0.1121387630701065,0.0023584994264213084
233,233,83.0,0.1052347645163536,0.001988851588406571
188,188,83.0,0.12145133316516875,0.0020120689255363486
148,148,83.0,1.6299076080322266,0.4536676096060114
215,215,83.0,0.09455658495426178,0.002151529641719789
279,279,142.0,1.6289305686950684,0.4536676203115614
187,187,142.0,0.10508181899785997,0.0019148213927978675
29,29,142.0,0.12490034848451614,0.0012521352592364025
118,118,142.0,1.6289300918579102,0.453667620283689
267,267,142.0,0.1064426600933075,0.0016009568217903525
59,59,142.0,0.10407234728336334,0.0014674092519521155
206,206,142.0,0.10008925199508667,0.0012516039803874414
198,198,142.0,0.10720841586589812,0.001558273330318183
100,100,142.0,0.1011933907866478,0.0023636213890688785
304,304,242.0,0.11873577535152435,0.0016514426679736702
81,81,242.0,0.09589961916208267,0.0014265549700690366
285,285,242.0,0.09724916517734528,0.0009476586416824783
194,194,242.0,0.12703321874141693,0.002135241466844829
266,266,242.0,0.09659282118082048,0.0012125984169495585
239,239,242.0,0.13020291924476626,0.001267554712566802
56,56,242.0,0.09893007576465608,0.0014239404651228199
269,269,242.0,0.12131070345640182,0.004114658089161779
107,107,412.0,0.11661316454410553,0.00260503757969482
92,92,412.0,0.0983014479279518,0.001334839862053278
139,139,412.0,0.09777585417032242,0.0014300066452488296
166,166,412.0,0.11236240714788437,0.001384746403692865
152,152,412.0,0.10635839402675627,0.0016952544495102257
68,68,412.0,0.0854029729962349,0.001422416148932084
255,255,412.0,0.120051808655262,0.0011582582300099244
154,154,701.0,0.10211316496133804,0.001854198274945418
251,251,701.0,0.2152298390865326,0.02755549855319811
142,142,701.0,0.1558944284915924,0.0012526136123319873
24,24,701.0,0.12287222594022752,0.001593521950781286
230,230,701.0,0.10486041754484177,0.0008467135840235707
78,78,701.0,0.14014634490013125,0.0013746786775310866
93,93,701.0,0.09760501235723497,0.0010307079960984805
306,306,701.0,0.10460370779037476,0.0010539708036382985
299,299,701.0,0.103870190680027,0.0007472253949662648
228,228,1193.0,0.13163644075393674,0.0012267721905245509
289,289,1193.0,0.11995410174131392,0.0012482883357616836
137,137,1193.0,0.12818080186843872,0.0014793404694281806
19,19,1193.0,0.13404004275798798,0.0018303511838164358
116,116,1193.0,0.13252118229866028,0.0012792661291102724
183,183,1193.0,0.15000024437904358,0.0021438022708416896
71,71,1193.0,0.1363251805305481,0.0009202630396653423
263,263,1193.0,0.15222667157649994,0.001897097585588336
90,90,2030.0,0.1605256199836731,0.001992622877129961
300,300,2030.0,1.5596835613250732,0.001971314038235903
176,176,2030.0,0.8031446933746338,0.005774741304962778
31,31,2030.0,1.4703292846679688,0.004052559640433521
42,42,2030.0,0.3182954788208008,0.001846554397408428
55,55,2030.0,0.2003922164440155,0.0035989495694768938
2,2,2030.0,0.20110829174518585,0.00218455040069154
313,313,2030.0,0.22366653382778168,0.0029890451008511712
38,38,2030.0,0.0945439487695694,0.000583127384438297
